DATE,RATINGS,TITLE,REVIEWS
"November 7, 2015",30,Not bad for the price,"After years of walking past Kyoto house, I recently visited the restaurant twice, both for lunch. Within 1 week, the price of AYCE sushi went from $11.99 to $12.99, which is still pretty good for AYCE. The restaurant was very busy both times probably around...More"
"September 19, 2015",30,Bring Your Own Soy Sauce,"I have visited this place on and off for the past few years. It is famous for inconsistent quality, not-too-friendly service, a mostly university student clientele, and watered down soy sauce! I'm baffled with the constant business they receive, at least offer proper soy sauce!...More"
"September 19, 2015",30,Sushi on a shoestring budget,"AYCE dinner is $19.99, which is a good price for downtown Toronto. Food quality and presentation are average. Service is poor. This is not a high-end sushi restaurant with a 5 star ranking. Kyoto is a mediocre restaurant with okay food at an okay price."
"September 18, 2015",10,Worst AYCE Sushi Experience Ever!,The food tasted ok BUT not everything. The yam tempura was just the same as eating uncooked yam. The salad was swimming in the dressing. As for the service WORST customer service ever. First they gave us someone else's order. Then they tried to give...More
"April 29, 2015",10,Dinner,Worst service I ever had in Toronto. Frozen seaweed salad hit the final nail on the coffin for Kyoto House. Do not recommend at all!
"December 4, 2014",40,"Great food, great price!","I went here for the dinner buffet and really enjoyed the food. I thought everything was excellent. They were very busy, so there were some times where I had to wait for service, but generally it was a very good experience. Worth the wait for...More"
"December 1, 2014",40,Plenty of Food and Value,Each time I walked past this place it was packed. So eventually we decided to do take out. No complaints at all. The service was instant even tho' it was busy. The food was delicious and lots of it for great value. When in Toronto...More
"October 22, 2014",30,Decent enough,"Been by several times and it always seemed packed so stopped in this evening. Well, it's an all-you-can-eat so you shouldn't expect awesome food so expectation met. The food was ok - some better than other. Service was ok, price was good."
"September 30, 2014",30,Decent food,The food and presentation reflects the price for sure. The food is decent so we go here when we don't want to spend much while having sushi that is actually good. We have been here a few times already and will return.
"September 20, 2014",40,Good sushi lunch buffet,"I was looking for lunch buffet with sushi/sashimi etc, however due to time limitation i didn't have time to search all restaurants in downtown, especially during 1pm lunch peak. I finally walked by this sushi house and the queue was not very long (this restaurant...More"
"July 24, 2014",40,Love their sashimi!,"I always come here if I crave sashimi because it's so fresh, generous in size and well put-together! :)"
"July 24, 2014",40,Delicious,"Very good sushi and it was a decent price. There were many options on the menu, which was helpful since my friend hates sushi. He ordered a chicken dish and was very pleased with it. We randomly picked this restaurant since we were traveling and...More"
"July 23, 2014",30,At least it's cheap,"I don't know why we have to lower our standards so much for AYCE sushi, but this place clearly isn't interested in exceed expectations. It's loud, crowded, grubby and the food is mediocre. Most of it is edible enough but the salmon skin role and...More"
"July 14, 2014",40,"GOOD, FAST AND CHEAP","there are a lot of sushi restaurants in Toronto, however this seems to be one of the best: good price (all u can eat is suggested), good quality, located in the city centre..."
"May 29, 2014",40,Best All you can eat SUSHI,I have been to this place so many times. One of our favorite place for sushi. Always fresh food. Selections are great. A lot of options to choose from. I like the green tea ice cream too.
"December 10, 2013",20,Take a look carefully to the receipt,"God food, but bad experience at payment time... they try to report more stuff than actually consumed"
"September 12, 2013",40,Good Japanese fare,"Just had a lunch at this restaurant and thoroughly enjoyed the experience. The food is reasonably priced, tasty and quickly served. What more could one ask for - well the decor is not too special but then for a quick and easy lunch that is...More"
"August 27, 2013",50,I love sushi,I stayed in Toronto over the weekend and researched Sushi restaurants in the area to where I was staying. I found Kyoto to have an all you can eat option and I told my wife we should give it a shot. It was a smaller...More
"August 20, 2013",50,Lunch Buffet,"Great restaurant. I usually don't explore too much out of my comfort zone in terms of sushi, but this buffet allowed me to try things I have never tried before. It was all excellently prepared, the waitresses were by very frequently to take additional orders...More"
"July 15, 2013",40,"Kyoto House Sushi, Toronto, ON","Amazing food, great service and whenever we are out for sushi we always return to the Kyoto House. We have tried many other spots but always return for the best crispy spicy salmon rolls at Kyoto!"
"June 18, 2013",50,great handroll and great price,"all you can eat and other choices,one of the best sushi ever have in toronto!and they also have some special rolls you can only have here!!THE SASHIMI is very fresh.my family and I always come here........try the beef ribs and seeweas for starters also............the icecream...More"
"February 16, 2013",40,Very good price for the quality of the food !,"The ""all you can eat"" is just very good for the price. Quality of the salmon and tuna is good. The waitress aren't really nice. They prepare the sushis quite fastly. What is good is that you can have tea and ice cream include in...More"
"February 14, 2013",30,Nice food!,"We went here with friends and our 1 year old. The only issue was that they hadn't got enough high chairs - but that was because it is such a family friendly place, they were all in use! The food was lovely and the service...More"
"November 12, 2012",50,Paradise for Japonese Food Funs....,"Fantastic sushis and others, highly fresh, very creative, tasty, ... simply excellent. Located downtown, close the Eaton Center. Price is incredebly good. Not fancy but very nice service. If not the best, surely among the best all you can eat Japonese in Toronto..."
"September 27, 2012",30,Service is quite poor,"The staff seems very bored, the girls take your orders and never return with them, they mixed up our order, kept bringing things we didn't order. The food is ok, I've had better sushi. The miso soup is good though."
